Configuration (Dye/Fungi),0,1,2,3,4,5,6,7,col9,col10,col11
1,0.4562992643,0.4417071729,0.3367052023,0.2241263794,0.1793648187,0.1558066211,0.118602207,0.07991986337,,,
2,0.2572812664,0.254778639,0.1618070152,0.1261100893,0.102532186,0.09397004729,0.1005123489,0.1040101156,,,
3,0.3979933001,0.3922293747,0.1841779427,0.09172523647,0.0495221361,0.002277653705,0.0002660273253,0.004527390962,,,
4,0.2196071992,0.1949914609,0.04347904624,0.03895493957,0.03444725434,0.03873325013,0.03544075145,0.03847871781,,,
5,0.121612257,0.07311153442,0.05605786915,0.05782317394,0.05452246453,0.05630419075,0.03668057015,0.03721426695,,,
6,0.4044133117,0.3620435153,0.3023861606,0.2508741463,0.1149331241,0.05325195785,0.02308013425,0.02342578523,,,
7,0.2406799472,0.2339122013,0.2261225308,0.179690083,0.1393491075,0.1163057091,0.08206622472,0.07528845993,,,
8,0.3423764757,0.2135688881,0.1254429175,0.091213452,0.0437590796,0.02173259639,0.01189907659,0.001048641608,,,
9,0.1756023845,0.06611618548,0.0654499307,0.06273481724,0.05291131631,0.05020121228,0.04137458881,0.03665069214,,,
10,0.1074690667,0.04272713611,0.01968874714,0.02104630387,0.01019586889,0.009529614107,0.01290597292,0.01427855795,,,
11,0.6043010753,0.4021505376,0.2408602151,0.2365591398,0.2172043011,0.2172043011,0.2301075269,0.2516129032,0.2537634409,0.2301075269,0.2408602151
12,0.6258064516,0.3032258065,0.1376344086,0.1225806452,0.1139784946,0.1182795699,0.1247311828,0.1290322581,0.135483871,0.1182795699,0.1268817204
13,0.6274488192,0.6142550977,0.5582715898,0.5301206295,0.5297532301,0.5229767518,0.5204702713,0.5180127773,0.5047863981,0.5044353275,0.4933888515
14,0.6295797359,0.5757434736,0.5347416978,0.538660625,0.5297613945,0.5336966505,0.518347519,0.5201192007,0.5304635356,0.5236870573,0.5169024146
15,0.645039537,0.5177304965,0.4287356322,0.3950436129,0.3485856363,0.2404255319,0.1939838591,0.1517730496,0.1031792614,0.0567457406,0.03583598272
16,0.6535583272,0.6411510557,0.6329827994,0.6269503546,0.5783647184,0.5361702128,0.4748186191,0.4347436211,0.3436129453,0.2737507133,0.2039047852
17,0.2861019596,0.2075570497,0.08066365032,0.07287074977,0.07378605203,0.06718218899,0.06936351681,0.06397435396,,,
18,0.2427149216,0.0388676985,0.03360684905,0.03449648863,0.01796972258,0.0126318851,0.01347019932,-0.01538320746,,,
19,0.201757284,0.02026225535,0.01370971767,0.008474530905,0.01171658284,0.008962121829,0.00240958415,-0.002902590652,,,
20,0.3692062723,0.1703974888,0.1204065877,0.09398258135,0.07748147798,0.04614734545,0.04577095947,0.04293951042,,,
21,0.3530302296,0.2596522905,-0.01107187718,-0.01263730068,-0.01303934933,-0.01713682394,-0.016195859,-0.01659790766,,,